DateTime,month,TOU_period,TOU_price,lake_ontario_outflow,upstream_level,downstream_level,hydraulic_head,power_MW,energy_kWh,revenue_actual,optimized_flow,optimized_upstream_level,optimized_downstream_level,optimized_head,optimized_power_MW,optimized_energy_kWh,optimized_revenue,flow_diff,power_diff_MW,energy_diff_kWh,revenue_diff,revenue_improvement_pct,feasible
2024-05-06 16:00:00,5,On-Peak,0.203,285000.0,73.35,46.878,26.472,73863.7177176,73863717.71759999,14994334.6966728,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3856.016386072559,3856016.386072561,782771.3263727315,5.220447203612349,True
2024-05-06 17:00:00,5,Mid-Peak,0.157,285000.0,73.35,46.883,26.467,73849.76642609999,73849766.42609999,11594413.328897698,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3869.9676775725675,3869967.6775725633,607584.9253788944,5.240324871501356,True
2024-05-06 18:00:00,5,Mid-Peak,0.157,285000.0,73.35,46.883,26.467,73849.76642609999,73849766.42609999,11594413.328897698,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3869.9676775725675,3869967.6775725633,607584.9253788944,5.240324871501356,True
2024-05-06 19:00:00,5,Off-Peak,0.098,285000.0,73.35,46.882,26.468,73852.5566844,73852556.68439999,7237550.555071199,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8752.141034667053,-8752141.034667045,-857709.8213973707,-11.850830123685856,True
2024-05-06 20:00:00,5,Off-Peak,0.098,285000.0,73.36,46.884,26.476,73874.87875080001,73874878.7508,7239738.1175784,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8774.463101067064,-8774463.101067051,-859897.3839045716,-11.877465316275782,True
2024-05-06 21:00:00,5,Off-Peak,0.098,285000.0,73.35,46.885,26.465,73844.18590949998,73844185.90949999,7236730.219130999,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8743.770259767036,-8743770.25976704,-856889.4854571708,-11.840837774937363,True
2024-05-06 22:00:00,5,Off-Peak,0.098,285000.0,73.35,46.88,26.47,73858.137201,73858137.201,7238097.445698,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8757.72155126706,-8757721.551267058,-858256.7120241709,-11.85749043119446,True
2024-05-06 23:00:00,5,Off-Peak,0.098,285000.0,73.34,46.89,26.450000000000003,73802.33203500001,73802332.03500001,7232628.539430002,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8701.916385267068,-8701916.385267064,-852787.8057561731,-11.790842030764388,True
2024-05-07 00:00:00,5,Off-Peak,0.098,285000.0,73.34,46.888,26.452000000000005,73807.91255160002,73807912.55160002,7233175.430056803,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8707.496901867074,-8707496.901867077,-853334.6963829743,-11.797511406083412,True
2024-05-07 01:00:00,5,Off-Peak,0.098,285000.0,73.34,46.885,26.455000000000005,73816.28332650001,73816283.32650001,7233995.765997002,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8715.867676767062,-8715867.676767066,-854155.0323231732,-11.807513578292122,True
